countriesAndTerritories,As of Population,continentExp,,,,,,,,,,,,,,,,,,,
Afghanistan,3.54873E-06,Asia,,,,Row Labels,Average of As of Population,,,,,,,,,,,,,,
Afghanistan,5.25738E-06,Asia,,,,Afghanistan,3.75479E-06,,countriesAndTerritories,As of Population,Ranking,,Row Labels,Average of As of Population,,,,,,,
Afghanistan,4.2059E-06,Asia,,,,Latvia,4.14126E-05,,El_Salvador,2.37329E-05,110,,Europe,4.73262E-05,,,,,,,
Afghanistan,0,Asia,,,,Lebanon,5.95154E-05,,Turkey,2.48528E-05,111,,Djibouti,2.20647E-05,,,,,,,
Afghanistan,7.88607E-08,Asia,,,,Lesotho,4.84037E-06,,Nepal,2.56238E-05,112,,Africa,2.20647E-05,,,,,,,
Afghanistan,1.18291E-06,Asia,,,,Liberia,1.26661E-06,,"Bonaire, Saint Eustatius and Saba",2.58105E-05,113,,Dominica,4.51799E-06,,,,,,,
Afghanistan,3.15443E-06,Asia,,,,Libya,4.99314E-05,,Guatemala,2.66427E-05,114,,America,4.51799E-06,,,,,,,
Afghanistan,1.84008E-07,Asia,,,,Liechtenstein,0.000137605,,Mexico,2.68839E-05,115,,Dominican_Republic,4.14684E-05,,,,,,,
Afghanistan,2.07667E-06,Asia,,,,Lithuania,8.58032E-05,,Guyana,2.69696E-05,116,,America,4.14684E-05,,,,,,,
Afghanistan,1.9978E-06,Asia,,,,Luxembourg,0.00018543,,Singapore,2.91061E-05,117,,Ecuador,3.36466E-05,,,,,,,
Afghanistan,5.65168E-06,Asia,,,,Madagascar,2.45973E-06,,Greece,3.20902E-05,118,,America,3.36466E-05,,,,,,,
Afghanistan,0,Asia,,,,Malawi,1.29411E-06,,Tunisia,3.26683E-05,119,,Egypt,3.48445E-06,,,,,,,
Afghanistan,0,Asia,,,,Malaysia,6.85178E-06,,Canada,3.3241E-05,120,,Africa,3.48445E-06,,,,,,,
Afghanistan,1.02519E-06,Asia,,,,Maldives,9.07315E-05,,Ecuador,3.36466E-05,121,,El_Salvador,2.37329E-05,,,,,,,
Afghanistan,2.05038E-06,Asia,,,,Mali,1.039E-06,,Estonia,3.44331E-05,122,,America,2.37329E-05,,,,,,,
Afghanistan,1.07776E-06,Asia,,,,Malta,7.79757E-05,,Suriname,3.45707E-05,123,,Equatorial_Guinea,1.41103E-05,,,,,,,
Afghanistan,1.76122E-06,Asia,,,,Marshall_Islands,1.61994E-06,,Kazakhstan,3.62797E-05,124,,Africa,1.41103E-05,,,,,,,
Afghanistan,2.15553E-06,Asia,,,,Mauritania,7.92102E-06,,Iran,3.71399E-05,125,,Eritrea,7.05633E-07,,,,,,,
Afghanistan,9.72615E-07,Asia,,,,Mauritius,1.53063E-06,,Saudi_Arabia,3.75607E-05,126,,Africa,7.05633E-07,,,,,,,
Afghanistan,0,Asia,,,,Mexico,2.68839E-05,,Faroe_Islands,3.78473E-05,127,,Estonia,3.44331E-05,,,,,,,
Afghanistan,0,Asia,,,,Moldova,0.000107208,,Morocco,3.82949E-05,128,,Europe,3.44331E-05,,,,,,,
Afghanistan,4.4162E-06,Asia,,,,Monaco,5.88166E-05,,Latvia,4.14126E-05,129,,Eswatini,2.11712E-05,,,,,,,
Afghanistan,1.86637E-06,Asia,,,,Mongolia,1.02931E-06,,Dominican_Republic,4.14684E-05,130,,Africa,2.11712E-05,,,,,,,
Afghanistan,0,Asia,,,,Montenegro,0.000235687,,Iraq,4.21366E-05,131,,Ethiopia,3.76205E-06,,,,,,,
Afghanistan,2.70755E-06,Asia,,,,Montserrat,9.90376E-06,,Honduras,4.24713E-05,132,,Africa,3.76205E-06,,,,,,,
Afghanistan,2.76012E-06,Asia,,,,Morocco,3.82949E-05,,Germany,4.25438E-05,133,,Falkland_Islands_(Malvinas),2.01661E-05,,,,,,,
Afghanistan,2.78641E-06,Asia,,,,Mozambique,2.05797E-06,,Ireland,4.43966E-05,134,,America,2.01661E-05,,,,,,,
Afghanistan,3.18072E-06,Asia,,,,Myanmar,7.18501E-06,,Kyrgyzstan,4.45396E-05,135,,Faroe_Islands,3.78473E-05,,,,,,,
Afghanistan,2.83899E-06,Asia,,,,Namibia,2.27135E-05,,Iceland,4.47054E-05,136,,Europe,3.78473E-05,,,,,,,
Afghanistan,3.4173E-07,Asia,,,,Nepal,2.56238E-05,,Azerbaijan,4.53905E-05,137,,Fiji,1.86569E-07,,,,,,,
Afghanistan,4.94194E-06,Asia,,,,Netherlands,9.55575E-05,,Paraguay,4.64963E-05,138,,Oceania,1.86569E-07,,,,,,,
Afghanistan,2.94413E-06,Asia,,,,New_Caledonia,4.82264E-07,,Bolivia,4.65729E-05,139,,Finland,1.50095E-05,,,,,,,
Afghanistan,3.68017E-06,Asia,,,,New_Zealand,1.07771E-06,,Belarus,4.72779E-05,140,,Europe,1.50095E-05,,,,,,,
Afghanistan,4.57392E-06,Asia,,,,Nicaragua,3.38119E-06,,Denmark,4.73262E-05,141,,France,9.98995E-05,,,,,,,
Afghanistan,3.15443E-07,Asia,,,,Niger,3.22878E-07,,Libya,4.99314E-05,142,,Europe,9.98995E-05,,,,,,,
Afghanistan,5.75683E-06,Asia,,,,Nigeria,1.04578E-06,,Russia,4.99744E-05,143,,French_Polynesia,0.000206381,,,,,,,
Afghanistan,1.9978E-06,Asia,,,,North_Macedonia,9.95134E-05,,South_Africa,5.06693E-05,144,,Oceania,0.000206381,,,,,,,
Afghanistan,6.67687E-06,Asia,,,,Northern_Mariana_Islands,7.77589E-06,,Jersey,5.11098E-05,145,,Gabon,1.57583E-05,,,,,,,
Afghanistan,7.49177E-06,Asia,,,,Norway,2.10545E-05,,United_Arab_Emirates,5.39933E-05,146,,Africa,1.57583E-05,,,,,,,
Afghanistan,1.05148E-07,Asia,,,,Oman,7.43097E-05,,Cyprus,5.5562E-05,147,,Gambia,6.01753E-06,,,,,,,
Afghanistan,0,Asia,,,,Pakistan,5.78744E-06,,Albania,5.6246E-05,148,,Africa,6.01753E-06,,,,,,,
Afghanistan,2.23439E-06,Asia,,,,Palestine,8.39016E-05,,Monaco,5.88166E-05,149,,Georgia,0.000127576,,,,,,,
Afghanistan,1.20394E-05,Asia,,,,Panama,0.000155138,,Lebanon,5.95154E-05,150,,Europe,0.000127576,,,,,,,
Afghanistan,6.70316E-06,Asia,,,,Papua_New_Guinea,2.95223E-07,,United_States_Virgin_Islands,6.17862E-05,151,,Germany,4.25438E-05,,,,,,,
Afghanistan,1.55093E-06,Asia,,,,Paraguay,4.64963E-05,,Ukraine,6.98489E-05,152,,Europe,4.25438E-05,,,,,,,
Afghanistan,5.52025E-06,Asia,,,,Peru,0.000108448,,Bahamas,7.28801E-05,153,,Ghana,6.36886E-06,,,,,,,
Afghanistan,1.13822E-05,Asia,,,,Philippines,1.20101E-05,,Oman,7.43097E-05,154,,Africa,6.36886E-06,,,,,,,
Afghanistan,7.33405E-06,Asia,,,,Poland,0.00010158,,Cura̤ao,7.44138E-05,155,,Gibraltar,0.000118449,,,,,,,
Afghanistan,9.14784E-06,Asia,,,,Portugal,0.000112171,,United_Kingdom,7.61198E-05,156,,Europe,0.000118449,,,,,,,
Afghanistan,7.93864E-06,Asia,,,,Puerto_Rico,0.000133373,,Cape_Verde,7.65792E-05,157,,Greece,3.20902E-05,,,,,,,
Afghanistan,4.88936E-06,Asia,,,,Qatar,0.000145177,,Turks_and_Caicos_islands,7.66331E-05,158,,Europe,3.20902E-05,,,,,,,
Afghanistan,8.38552E-06,Asia,,,,Romania,7.879E-05,,Malta,7.79757E-05,159,,Greenland,1.26541E-06,,,,,,,
Afghanistan,7.33405E-06,Asia,,,,Russia,4.99744E-05,,Belize,7.86501E-05,160,,America,1.26541E-06,,,,,,,
Afghanistan,7.12375E-06,Asia,,,,Rwanda,1.82942E-06,,Romania,7.879E-05,161,,Grenada,1.46535E-06,,,,,,,
Afghanistan,9.2267E-06,Asia,,,,Saint_Kitts_and_Nevis,1.82695E-06,,Slovakia,7.89738E-05,162,,America,1.46535E-06,,,,,,,
Afghanistan,4.33734E-06,Asia,,,,Saint_Lucia,5.47061E-06,,Palestine,8.39016E-05,163,,Guam,0.000157886,,,,,,,
Afghanistan,7.25519E-06,Asia,,,,Saint_Vincent_and_the_Grenadines,3.01405E-06,,Sweden,8.43574E-05,164,,Oceania,0.000157886,,,,,,,
Afghanistan,1.2092E-05,Asia,,,,San_Marino,0.000151875,,Italy,8.43925E-05,165,,Guatemala,2.66427E-05,,,,,,,
Afghanistan,6.15114E-06,Asia,,,,Sao_Tome_and_Principe,1.9075E-05,,Lithuania,8.58032E-05,166,,America,2.66427E-05,,,,,,,
Afghanistan,8.88497E-06,Asia,,,,Saudi_Arabia,3.75607E-05,,Bulgaria,8.7358E-05,167,,Guernsey,1.68579E-05,,,,,,,
Afghanistan,8.14894E-06,Asia,,,,Senegal,3.69363E-06,,Jordan,8.99423E-05,168,,Europe,1.68579E-05,,,,,,,
Afghanistan,1.07513E-05,Asia,,,,Serbia,0.000122205,,Kosovo,9.00317E-05,169,,Guinea,3.8466E-06,,,,,,,
Afghanistan,1.43526E-05,Asia,,,,Seychelles,6.97232E-06,,Maldives,9.07315E-05,170,,Africa,3.8466E-06,,,,,,,
Afghanistan,9.09527E-06,Asia,,,,Sierra_Leone,1.22828E-06,,Brazil,9.16743E-05,171,,Guinea_Bissau,4.92739E-06,,,,,,,
Afghanistan,1.72968E-05,Asia,,,,Singapore,2.91061E-05,,Hungary,9.52058E-05,172,,Africa,4.92739E-06,,,,,,,
Afghanistan,1.48258E-05,Asia,,,,Sint_Maarten,0.00010575,,Netherlands,9.55575E-05,173,,Guyana,2.69696E-05,,,,,,,
